t,P,Q
0,6.51087E-05,-0.000423412
0.1,6.23291E-05,-0.000421741
0.2,6.37606E-05,-0.000419402
0.3,6.31452E-05,-0.000418824
0.4,6.81884E-05,-0.000418511
0.5,6.40926E-05,-0.000418721
0.6,6.75943E-05,-0.000416071
0.7,6.49333E-05,-0.000416778
0.8,6.96653E-05,-0.000416395
0.9,6.72397E-05,-0.000417341
1,6.79759E-05,-0.000414567
1.1,6.82607E-05,-0.000417159
1.2,7.03396E-05,-0.000413389
1.3,7.31482E-05,-0.00041514
1.4,7.09877E-05,-0.000413839
1.5,7.51446E-05,-0.000418012
1.6,7.78844E-05,-0.000417583
1.7,8.12581E-05,-0.000416879
1.8,8.56488E-05,-0.000424036
1.9,8.73525E-05,-0.000421356
2,9.47496E-05,-0.000430897
2.1,9.46086E-05,-0.000423393
2.2,0.000100889,-0.000429267
2.3,0.000103569,-0.000432578
2.4,0.000106106,-0.000425505
2.5,0.000105658,-0.000428187
2.6,0.000109583,-0.000428666
2.7,0.000113028,-0.000424732
2.8,0.000113974,-0.000425366
2.9,0.000116348,-0.000424848
3,0.000119949,-0.000429148
3.1,0.000118375,-0.000429215
3.2,0.000119901,-0.000431428
3.3,0.00012774,-0.000435387
3.4,0.00012708,-0.00043773
3.5,0.000125687,-0.000438128
3.6,0.000131473,-0.000440296
3.7,0.00011922,-0.000439562
3.8,0.000113518,-0.000433873
3.9,0.000110308,-0.000432069
4,0.000107066,-0.00042318
4.1,9.49689E-05,-0.000419649
4.2,8.98729E-05,-0.000420385
4.3,8.07847E-05,-0.000413416
4.4,7.62566E-05,-0.000414123
4.5,7.05341E-05,-0.00041857
4.6,6.51259E-05,-0.000416543
4.7,6.34141E-05,-0.000420567
4.8,6.55147E-05,-0.000419972
4.9,6.12494E-05,-0.000418932
5,6.52769E-05,-0.000422589
5.1,6.81731E-05,-0.000419275
5.2,6.66208E-05,-0.000416427
5.3,6.71009E-05,-0.000415797
5.4,6.87696E-05,-0.000415742
5.5,6.75999E-05,-0.000413822
5.6,7.14363E-05,-0.000418085
5.7,7.3828E-05,-0.000412913
5.8,7.70265E-05,-0.000415108
5.9,8.22894E-05,-0.000419651
6,8.9273E-05,-0.000421855
6.1,9.25557E-05,-0.000421879
6.2,9.9829E-05,-0.000431257
6.3,9.9717E-05,-0.00042812
6.4,0.000102905,-0.000431396
6.5,0.000104331,-0.000429329
6.6,0.000106146,-0.000424375
6.7,0.000108195,-0.000425329
6.8,0.0001104,-0.000425043
6.9,0.000112174,-0.000423706
7,0.000117498,-0.000427745
7.1,0.000118988,-0.000426194
7.2,0.000119734,-0.00042761
7.3,0.000123392,-0.000437097
7.4,0.000124953,-0.000434732
7.5,0.000126334,-0.000436082
7.6,0.000129213,-0.000440956
7.7,0.000122964,-0.000436277
7.8,0.000122177,-0.000440034
7.9,0.000117771,-0.000437146
8,0.000114283,-0.000433545
8.1,0.000106708,-0.000429763
8.2,9.85647E-05,-0.000424271
8.3,9.59707E-05,-0.00042582
8.4,8.35392E-05,-0.000419117
8.5,7.56525E-05,-0.000415928
8.6,7.81337E-05,-0.000416894
8.7,7.11518E-05,-0.000414448
8.8,6.73177E-05,-0.000421849
8.9,6.57211E-05,-0.000420562
9,6.24195E-05,-0.000419825
9.1,6.16239E-05,-0.000421838
9.2,6.39748E-05,-0.000421531
9.3,6.33577E-05,-0.000420608
9.4,6.53997E-05,-0.000418329
9.5,6.54075E-05,-0.000418871
9.6,6.656E-05,-0.000418391
9.7,6.81825E-05,-0.000413023
9.8,6.8624E-05,-0.000413967
9.9,7.28784E-05,-0.000415638
10,7.25085E-05,-0.000414967
10.1,7.77452E-05,-0.000417478
10.2,8.01819E-05,-0.000421317
10.3,8.40806E-05,-0.000419489
10.4,9.1021E-05,-0.000423058
10.5,9.56611E-05,-0.000429367
10.6,9.71836E-05,-0.000423475
10.7,0.000100065,-0.000432461
10.8,0.000103596,-0.000428973
10.9,0.000108751,-0.000428792
11,0.000109235,-0.000430718
11.1,0.000107357,-0.00042591
11.2,0.000111259,-0.000423854
11.3,0.000109105,-0.000424356
11.4,0.000114493,-0.000426504
11.5,0.000113362,-0.000425175
11.6,0.000116975,-0.000427274
11.7,0.000116075,-0.000427569
11.8,0.00011827,-0.000427844
11.9,0.000121329,-0.000435088
12,0.000122089,-0.000434579
12.1,0.000127616,-0.000436378
12.2,0.000127017,-0.000437151
12.3,0.000124724,-0.000438104
12.4,0.000125141,-0.000437342
12.5,0.000125624,-0.000439405
12.6,0.0001226,-0.000440002
12.7,0.000119666,-0.000437977
12.8,0.000117502,-0.000440792
12.9,0.000113214,-0.000433941
13,0.000113918,-0.000433937
13.1,0.000103481,-0.000428156
13.2,0.000100431,-0.00043039
13.3,9.20303E-05,-0.000422224
13.4,9.2837E-05,-0.000423549
13.5,8.61258E-05,-0.00041984
13.6,8.50729E-05,-0.000420547
13.7,7.53209E-05,-0.000418903
13.8,7.36225E-05,-0.000417707
13.9,7.08166E-05,-0.000417996
14,6.47569E-05,-0.000420376
14.1,6.49208E-05,-0.000422578
14.2,6.23779E-05,-0.000420465
14.3,6.39269E-05,-0.00042131
14.4,6.27821E-05,-0.000419942
14.5,6.3709E-05,-0.000422979
14.6,6.66315E-05,-0.000417801
14.7,6.51061E-05,-0.000419974
14.8,6.69359E-05,-0.000420405
14.9,6.58246E-05,-0.000414099
15,6.87243E-05,-0.000413181
15.1,7.2321E-05,-0.000417219
15.2,7.14839E-05,-0.000416495
15.3,7.68449E-05,-0.000413612
15.4,8.04997E-05,-0.000419697
15.5,8.37547E-05,-0.000419141
15.6,9.00901E-05,-0.000422515
15.7,9.31622E-05,-0.000427584
15.8,9.96726E-05,-0.000425229
15.9,0.000101689,-0.000430193
16,0.000104595,-0.000433294
16.1,0.000106273,-0.000425848
16.2,0.00010548,-0.000425425
16.3,0.000110995,-0.000427324
16.4,0.000114176,-0.000419466
16.5,0.000115653,-0.000429514
16.6,0.000117436,-0.000426125
16.7,0.00011798,-0.000429463
16.8,0.00012692,-0.000437713
16.9,0.000124564,-0.000433984
17,0.000128388,-0.000436474
17.1,0.00013028,-0.000441855
17.2,0.000124444,-0.000437999
17.3,0.000121406,-0.000439632
17.4,0.000117678,-0.000439592
17.5,0.000111624,-0.000432161
17.6,0.000103864,-0.00042975
17.7,9.38676E-05,-0.00042527
17.8,8.63567E-05,-0.000417528
17.9,8.61135E-05,-0.000419405
18,7.93366E-05,-0.000416341
18.1,7.1523E-05,-0.000420352
18.2,6.89037E-05,-0.000424335
18.3,6.49938E-05,-0.000421813
18.4,6.0096E-05,-0.000418252
18.5,6.37317E-05,-0.000420997
18.6,6.61087E-05,-0.000418598
18.7,6.51928E-05,-0.000417643
18.8,6.60631E-05,-0.000415618
18.9,6.68989E-05,-0.000415428
19,7.13666E-05,-0.000415222
19.1,7.33982E-05,-0.000414448
19.2,7.73513E-05,-0.000415594
19.3,8.66029E-05,-0.00041889
19.4,8.92596E-05,-0.000424259
19.5,9.15796E-05,-0.000423461
19.6,0.000104088,-0.000428275
19.7,0.000105893,-0.000428606
19.8,0.000107652,-0.000427728
19.9,0.000111136,-0.000423832
20,0.000114349,-0.00042027
20.1,0.00011786,-0.000429544
20.2,0.000122299,-0.000432976
20.3,0.000126296,-0.000437286
20.4,0.000124137,-0.000437131
20.5,0.000125671,-0.000442083
20.6,0.000127611,-0.000443556
20.7,0.000116257,-0.000436415
20.8,0.000109283,-0.00043026
20.9,9.85492E-05,-0.000426561
21,9.02107E-05,-0.000418965
21.1,8.2582E-05,-0.000418301
21.2,7.49627E-05,-0.000416884
21.3,6.77086E-05,-0.000417887
21.4,6.5857E-05,-0.000421047
21.5,6.2176E-05,-0.000418989
21.6,6.50902E-05,-0.000422741
21.7,6.45773E-05,-0.000419725
21.8,6.86695E-05,-0.000417346
21.9,6.53349E-05,-0.000414321
