t,P,Q
0,5.19207E-05,-1.36605E-05
0.1,5.39791E-05,-1.3409E-05
0.2,5.61164E-05,-1.56833E-05
0.3,5.74517E-05,-1.41019E-05
0.4,5.72228E-05,-1.58095E-05
0.5,5.6664E-05,-1.5545E-05
0.6,5.47606E-05,-1.67391E-05
0.7,5.51262E-05,-1.6441E-05
0.8,5.2595E-05,-1.7224E-05
0.9,4.86743E-05,-1.68393E-05
1,4.62933E-05,-1.80898E-05
1.1,4.20601E-05,-1.77764E-05
1.2,3.71024E-05,-1.85438E-05
1.3,3.16141E-05,-1.91102E-05
1.4,2.74614E-05,-1.87592E-05
1.5,2.0213E-05,-1.86769E-05
1.6,1.72055E-05,-1.85849E-05
1.7,1.49773E-05,-1.77745E-05
1.8,1.4322E-05,-1.76371E-05
1.9,1.68559E-05,-1.62347E-05
2,2.0929E-05,-1.54668E-05
2.1,2.4593E-05,-1.45297E-05
2.2,2.83861E-05,-1.41581E-05
2.3,3.27553E-05,-1.31878E-05
2.4,3.51407E-05,-1.32291E-05
2.5,3.91792E-05,-1.37548E-05
2.6,4.2746E-05,-1.27746E-05
2.7,4.59076E-05,-1.26962E-05
2.8,4.73861E-05,-1.33156E-05
2.9,5.14987E-05,-1.38975E-05
3,6.7843E-05,-0.001397985
3.1,6.48494E-05,-0.001402
3.2,6.4367E-05,-0.001396715
3.3,6.63913E-05,-0.001388792
3.4,6.88945E-05,-0.001375368
3.5,6.98543E-05,-0.001375144
3.6,7.59029E-05,-0.001375454
3.7,7.11893E-05,-0.001373513
3.8,6.59253E-05,-0.001368847
3.9,7.52275E-05,-0.001379984
4,7.22523E-05,-0.001381758
4.1,6.39287E-05,-0.001386614
4.2,5.46088E-05,-0.001394617
4.3,5.08634E-05,-0.001394664
4.4,4.17457E-05,-0.001386545
4.5,3.36924E-05,-0.001381269
4.6,3.08384E-05,-0.001379312
4.7,2.66941E-05,-0.001384991
4.8,3.68814E-05,-0.001391168
4.9,4.07926E-05,-0.001385207
5,4.17591E-05,-0.001379314
5.1,4.87139E-05,-0.001381182
5.2,5.54155E-05,-0.001378737
5.3,5.16727E-05,-0.001375294
5.4,5.85248E-05,-0.001369533
5.5,5.97358E-05,-0.001367438
5.6,5.95671E-05,-0.001374437
5.7,5.9159E-05,-0.001384477
5.8,6.178E-05,-0.001387925
5.9,6.08944E-05,-0.001397064
6,6.53985E-05,-0.001397741
6.1,6.61902E-05,-0.001395934
6.2,6.5468E-05,-0.001392739
6.3,6.49854E-05,-0.001385155
6.4,6.52779E-05,-0.001378307
6.5,6.99328E-05,-0.001369732
