,Anholt,Horns Rev A,Horns Rev B,Horns Rev C,Roedsand 1,Roedsand 2
,Wind Offshore,Wind Offshore,Wind Offshore,Wind Offshore,Wind Offshore,Wind Offshore
newlevel,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2020-01-01 00:00:00+01:00,373.0,19.0,41.0,86.0,0.0,114.0
2020-01-01 01:00:00+01:00,397.0,29.0,65.0,135.0,0.0,102.0
2020-01-01 02:00:00+01:00,400.0,44.0,92.0,178.0,0.0,94.0
2020-01-01 03:00:00+01:00,383.0,60.0,116.0,233.0,0.0,111.0
2020-01-01 04:00:00+01:00,393.0,68.0,132.0,264.0,0.0,133.0
2020-01-01 05:00:00+01:00,387.0,67.0,134.0,254.0,0.0,139.0
2020-01-01 06:00:00+01:00,384.0,69.0,121.0,246.0,0.0,162.0
2020-01-01 07:00:00+01:00,391.0,73.0,129.0,248.0,0.0,161.0
2020-01-01 08:00:00+01:00,394.0,86.0,163.0,307.0,0.0,143.0
2020-01-01 09:00:00+01:00,396.0,92.0,173.0,315.0,0.0,124.0
2020-01-01 10:00:00+01:00,400.0,85.0,158.0,310.0,0.0,119.0
2020-01-01 11:00:00+01:00,400.0,84.0,163.0,309.0,0.0,152.0
2020-01-01 12:00:00+01:00,393.0,97.0,168.0,316.0,0.0,144.0
2020-01-01 13:00:00+01:00,391.0,96.0,166.0,304.0,0.0,132.0
2020-01-01 14:00:00+01:00,399.0,100.0,164.0,298.0,0.0,124.0
2020-01-01 15:00:00+01:00,367.0,89.0,151.0,295.0,0.0,104.0
2020-01-01 16:00:00+01:00,342.0,85.0,153.0,312.0,0.0,126.0
2020-01-01 17:00:00+01:00,323.0,89.0,156.0,306.0,0.0,134.0
2020-01-01 18:00:00+01:00,273.0,81.0,155.0,282.0,0.0,87.0
2020-01-01 19:00:00+01:00,256.0,88.0,173.0,331.0,0.0,49.0
2020-01-01 20:00:00+01:00,284.0,118.0,190.0,342.0,0.0,30.0
2020-01-01 21:00:00+01:00,330.0,88.0,162.0,303.0,0.0,13.0
2020-01-01 22:00:00+01:00,338.0,102.0,188.0,336.0,0.0,26.0
2020-01-01 23:00:00+01:00,216.0,132.0,193.0,344.0,0.0,47.0
2020-01-02 00:00:00+01:00,237.0,121.0,179.0,326.0,0.0,66.0
2020-01-02 01:00:00+01:00,321.0,104.0,179.0,322.0,0.0,39.0
2020-01-02 02:00:00+01:00,361.0,115.0,186.0,336.0,0.0,32.0
2020-01-02 03:00:00+01:00,338.0,125.0,192.0,353.0,0.0,56.0
